CPUTYPE,CPUPCT,NPTS,SUM,SUM2,AVGPOWER
amd-opteron-2214,0,2445,459112.80,86213417.96,187.78
amd-opteron-2214,1,177,33729.70,6428666.47,190.56
amd-opteron-2214,2,52,9942.20,1901331.20,191.20
amd-opteron-2214,3,50,9604.00,1845632.66,192.08
amd-opteron-2214,4,108,20472.10,3882787.75,189.56
amd-opteron-2214,5,29,5617.10,1088974.51,193.69
amd-opteron-2214,6,29,5587.80,1077588.56,192.68
amd-opteron-2214,7,24,4638.50,897935.97,193.27
amd-opteron-2214,8,42,8092.80,1561185.16,192.69
amd-opteron-2214,9,58,11074.00,2116284.96,190.93
amd-opteron-2214,10,72,13824.30,2658327.97,192.00
amd-opteron-2214,11,43,8300.90,1603688.31,193.04
amd-opteron-2214,12,29,5638.50,1097693.91,194.43
amd-opteron-2214,13,41,7954.00,1544744.26,194.00
amd-opteron-2214,14,50,9693.90,1881463.19,193.88
amd-opteron-2214,15,38,7399.50,1441867.45,194.72
amd-opteron-2214,16,70,13631.50,2656178.67,194.74
amd-opteron-2214,17,91,17878.60,3514499.66,196.47
amd-opteron-2214,18,108,21314.30,4209609.21,197.35
amd-opteron-2214,19,101,19992.20,3960265.10,197.94
amd-opteron-2214,20,64,12639.10,2497539.21,197.49
amd-opteron-2214,21,50,9927.70,1971741.57,198.55
amd-opteron-2214,22,57,11339.10,2257032.83,198.93
amd-opteron-2214,23,39,7740.40,1537704.18,198.47
amd-opteron-2214,24,65,12914.30,2567590.05,198.68
amd-opteron-2214,25,2142,429933.00,86303049.72,200.72
amd-opteron-2214,26,91,18218.80,3648745.36,200.21
amd-opteron-2214,27,59,11861.10,2385807.15,201.04
amd-opteron-2214,28,35,7070.20,1428975.48,202.01
amd-opteron-2214,29,40,8060.20,1625438.32,201.50
amd-opteron-2214,30,24,4845.40,978503.52,201.89
amd-opteron-2214,31,22,4446.50,899023.71,202.11
amd-opteron-2214,32,23,4615.90,926881.95,200.69
amd-opteron-2214,33,27,5473.50,1110327.19,202.72
amd-opteron-2214,34,50,10191.40,2078068.72,203.83
amd-opteron-2214,35,30,6139.90,1257000.17,204.66
amd-opteron-2214,36,33,6694.00,1358846.00,202.85
amd-opteron-2214,37,18,3641.80,737368.00,202.32
amd-opteron-2214,38,14,2839.40,576707.20,202.81
amd-opteron-2214,39,13,2653.10,542764.11,204.08
amd-opteron-2214,40,9,1843.60,378000.60,204.84
amd-opteron-2214,41,12,2483.10,514190.95,206.93
amd-opteron-2214,42,15,3067.20,628811.98,204.48
amd-opteron-2214,43,36,7470.70,1551849.79,207.52
amd-opteron-2214,44,37,7654.50,1585691.75,206.88
amd-opteron-2214,45,26,5446.00,1142969.48,209.46
amd-opteron-2214,46,40,8583.10,1844981.03,214.58
amd-opteron-2214,47,39,8405.60,1814410.66,215.53
amd-opteron-2214,48,20,4138.90,857674.15,206.94
amd-opteron-2214,49,107,23014.70,4954254.93,215.09
